Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,0,Llanowar Elves,Dominaria,168,Near Mint,English,,,,,,,,
1,0,Llanowar Empath,Duel Decks: Elves vs. Inventors,18,Near Mint,English,,,,,,,,
4,0,Loam Dryad,Shadows over Innistrad,216,Near Mint,English,,,,,,,,
2,0,Lonely Sandbar,Duel Decks: Merfolk vs. Goblins,27,Near Mint,English,,,,,,,,
2,0,Looming Spires,Battle for Zendikar,238,Near Mint,English,,,,,,,,
1,0,Lotus-Eye Mystics,Fate Reforged,17,Near Mint,English,,,,,,,,
2,0,Loxodon Line Breaker,Core Set 2019,24,Near Mint,English,,,,,,,,
1,0,Luminous Bonds,Core Set 2019,25,Near Mint,English,,,,,,,,
2,0,Macabre Waltz,Shadows over Innistrad,121,Near Mint,English,,,,,,,,
4,0,Magmatic Chasm,Shadows over Innistrad,172,Near Mint,English,,,,,,,,
1,0,Magmaw,Duel Decks: Zendikar vs. Eldrazi,62,Near Mint,English,,,,,,,,
1,0,Magnifying Glass,Shadows over Innistrad,258,Near Mint,English,,,,,,,,
1,0,Mahamoti Djinn,Magic Origins,278,Near Mint,English,,,,,,,,
1,0,Makindi Griffin,Duel Decks: Zendikar vs. Eldrazi,6,Near Mint,English,,,,,,,,
1,0,Malevolent Whispers,Shadows over Innistrad,173,Near Mint,English,,,,,,,,
1,0,Manic Scribe,Shadows over Innistrad,73,Near Mint,English,,,,,,,,
1,0,Mardu Runemark,Fate Reforged,107,Near Mint,English,,,,,,,,
1,0,Mardu Scout,Fate Reforged,108,Near Mint,English,,,,,,,,
1,0,Marsh Casualties,Duel Decks: Zendikar vs. Eldrazi,54,Near Mint,English,,,,,,,,
1,0,Marsh Hulk,Dragons of Tarkir,109,Near Mint,English,,,,,,,,
1,0,Master of the Pearl Trident,Duel Decks: Merfolk vs. Goblins,9,Near Mint,English,,,,,,,,
1,0,Master of Waves,Duel Decks: Merfolk vs. Goblins,1,Near Mint,English,,,,,,,,
1,0,Maverick Thopterist,Duel Decks: Elves vs. Inventors,50,Near Mint,English,,,,,,,,
3,0,Merciless Resolve,Shadows over Innistrad,123,Near Mint,English,,,,,,,,
1,0,Merfolk Looter,Duel Decks: Merfolk vs. Goblins,10,Near Mint,English,,,,,,,,
1,0,Merfolk Sovereign,Duel Decks: Merfolk vs. Goblins,11,Near Mint,English,,,,,,,,
1,0,Merfolk Wayfinder,Duel Decks: Merfolk vs. Goblins,12,Near Mint,English,,,,,,,,
1,0,Merrow Reejerey,Duel Decks: Merfolk vs. Goblins,13,Near Mint,English,,,,,,,,
3,0,Might Beyond Reason,Shadows over Innistrad,217,Near Mint,English,,,,,,,,
1,0,Mighty Leap,Core Set 2019,28,Near Mint,English,,,,,,,,
3,0,Militant Inquisitor,Shadows over Innistrad,26,Near Mint,English,,,,,,,,
2,0,Mind Raker,Battle for Zendikar,95,Near Mint,English,,,,,,,,
1,0,Mind Rot,Magic Origins,281,Near Mint,English,,,,,,,,
1,0,Mind Spring,Duel Decks: Merfolk vs. Goblins,14,Near Mint,English,,,,,,,,
2,0,Mind Stone,Duel Decks: Zendikar vs. Eldrazi,65,Near Mint,English,,,,,,,,
1,0,Misdirection,Duel Decks: Merfolk vs. Goblins,15,Near Mint,English,,,,,,,,
1,0,Mistfire Adept,Fate Reforged,42,Near Mint,English,,,,,,,,
1,0,Mogis's Warhound,Journey into Nyx,104,Near Mint,English,,,,,,,,
3,0,Moldgraf Scavenger,Shadows over Innistrad,218,Near Mint,English,,,,,,,,
2,0,Molten Nursery,Battle for Zendikar,130,Near Mint,English,,,,,,,,
1,0,Moonlight Hunt,Shadows over Innistrad,219,Near Mint,English,foil,,,,,,,
2,0,Moorland Drifter,Shadows over Innistrad,27,Near Mint,English,,,,,,,,
1,0,Morkrut Necropod,Shadows over Innistrad,125,Near Mint,English,,,,,,,,
100,0,Mountain,Dominaria,262,Near Mint,English,,,,,,,,
1,0,Murasa Ranger,Battle for Zendikar,178,Near Mint,English,,,,,,,,
3,0,Murderous Compulsion,Shadows over Innistrad,126,Near Mint,English,,,,,,,,
2,0,Mycosynth Wellspring,Duel Decks: Elves vs. Inventors,56,Near Mint,English,,,,,,,,
1,0,Myr Battlesphere,Duel Decks: Elves vs. Inventors,57,Near Mint,English,,,,,,,,
1,0,Myr Sire,Duel Decks: Elves vs. Inventors,58,Near Mint,English,,,,,,,,
3,0,Nagging Thoughts,Shadows over Innistrad,74,Near Mint,English,,,,,,,,
1,0,Nahiri's Machinations,Shadows over Innistrad,28,Near Mint,English,,,,,,,,
1,0,Naturalize,Khans of Tarkir,142,Near Mint,English,,,,,,,,
1,0,Naturalize,Core Set 2019,190,Near Mint,English,,,,,,,,
2,0,Nature's Way,Duel Decks: Elves vs. Inventors,20,Near Mint,English,,,,,,,,
2,0,Nearheath Chaplain,Shadows over Innistrad,29,Near Mint,English,,,,,,,,
1,0,Negate,Dragons of Tarkir,65,Near Mint,English,,,,,,,,
2,0,Neglected Heirloom,Shadows over Innistrad,260,Near Mint,English,,,,,,,,
1,0,Nephalia Moondrakes,Shadows over Innistrad,75,Near Mint,English,,,,,,,,
3,0,Nettle Drone,Battle for Zendikar,131,Near Mint,English,,,,,,,,
1,0,Neurok Replica,Duel Decks: Elves vs. Inventors,59,Near Mint,English,,,,,,,,
1,0,Nightmare,Magic Origins,282,Near Mint,English,,,,,,,,
2,0,Nissa's Judgment,Duel Decks: Elves vs. Inventors,21,Near Mint,English,,,,,,,,
1,0,Nissa's Pilgrimage,Magic Origins,190,Near Mint,English,,,,,,,,
1,0,Nivix Barrier,Magic Origins,66,Near Mint,English,,,,,,,,
1,0,Not Forgotten,Shadows over Innistrad,30,Near Mint,English,,,,,,,,
1,0,Oakenform,Core Set 2019,191,Near Mint,English,,,,,,,,
1,0,Oblivion Sower,Duel Decks: Zendikar vs. Eldrazi,41,Near Mint,English,,,,,,,,
2,0,Obsessive Skinner,Shadows over Innistrad,220,Near Mint,English,foil,,,,,,,
1,0,Ojutai's Breath,Dragons of Tarkir,67,Near Mint,English,,,,,,,,
1,0,Olivia's Bloodsworn,Shadows over Innistrad,127,Near Mint,English,,,,,,,,
1,0,"Olivia, Mobilized for War",Shadows over Innistrad,248,Near Mint,English,,,,,,,,
1,0,Ondu Giant,Duel Decks: Zendikar vs. Eldrazi,19,Near Mint,English,,,,,,,,
2,0,Open the Armory,Shadows over Innistrad,32,Near Mint,English,,,,,,,,
1,0,Oracle of Dust,Battle for Zendikar,63,Near Mint,English,,,,,,,,
1,0,"Oran-Rief, the Vastwood",Duel Decks: Elves vs. Inventors,28,Near Mint,English,,,,,,,,
1,0,Orchard Spirit,Magic Origins,192,Near Mint,English,,,,,,,,
1,0,Oreskos Swiftclaw,Core Set 2019,31,Near Mint,English,,,,,,,,
4,0,Orzhov Guildgate,Commander 2017,269,Near Mint,English,,,,,,,,
1,0,Oust,Duel Decks: Zendikar vs. Eldrazi,7,Near Mint,English,,,,,,,,
2,0,Pacifism,Dragons of Tarkir,29,Near Mint,English,,,,,,,,
2,0,Pack Guardian,Shadows over Innistrad,221,Near Mint,English,foil,,,,,,,
1,0,Pale Rider of Trostad,Shadows over Innistrad,128,Near Mint,English,,,,,,,,
1,0,Paranoid Parish-Blade,Shadows over Innistrad,33,Near Mint,English,,,,,,,,
1,0,Pawn of Ulamog,Duel Decks: Zendikar vs. Eldrazi,55,Near Mint,English,,,,,,,,
1,0,Pegasus Courser,Dominaria,29,Near Mint,English,,,,,,,,
1,0,Pensive Minotaur,Journey into Nyx,105,Near Mint,English,,,,,,,,
1,0,Pheres-Band Thunderhoof,Journey into Nyx,134,Near Mint,English,,,,,,,,
1,0,Phyrexia's Core,Commander Anthology Volume II,261,Near Mint,English,,,,,,,,
2,0,Pia and Kiran Nalaar,Duel Decks: Elves vs. Inventors,47,Near Mint,English,,,,,,,,
1,0,Pick the Brain,Shadows over Innistrad,129,Near Mint,English,,,,,,,,
4,0,Pieces of the Puzzle,Shadows over Innistrad,78,Near Mint,English,,,,,,,,
1,0,Pilgrim's Eye,Battle for Zendikar,226,Near Mint,English,,,,,,,,
2,0,Pious Evangel,Shadows over Innistrad,34,Near Mint,English,,,,,,,,
100,0,Plains,Dominaria,252,Near Mint,English,,,,,,,,
1,0,Planar Outburst,Battle for Zendikar,42,Near Mint,English,,,,,,,,
1,0,Plummet,Magic Origins,286,Near Mint,English,,,,,,,,
1,0,Plummet,Core Set 2019,193,Near Mint,English,,,,,,,,
1,0,Pore Over the Pages,Shadows over Innistrad,79,Near Mint,English,,,,,,,,
3,0,Press for Answers,Shadows over Innistrad,80,Near Mint,English,,,,,,,,
1,0,Prickleboar,Magic Origins,158,Near Mint,English,,,,,,,,
1,0,Primal Command,Duel Decks: Zendikar vs. Eldrazi,20,Near Mint,English,,,,,,,,
1,0,Prized Unicorn,Magic Origins,287,Near Mint,English,,,,,,,,
2,0,Processor Assault,Battle for Zendikar,132,Near Mint,English,,,,,,,,
3,0,Puncturing Light,Shadows over Innistrad,35,Near Mint,English,,,,,,,,
3,0,Pyre Hound,Shadows over Innistrad,174,Near Mint,English,,,,,,,,
1,0,Pyrite Spellbomb,Duel Decks: Elves vs. Inventors,60,Near Mint,English,,,,,,,,
1,0,Pyrotechnics,Fate Reforged,111,Near Mint,English,,,,,,,,
1,0,Qal Sisma Behemoth,Dragons of Tarkir,149,Near Mint,English,,,,,,,,
2,0,Quilled Wolf,Shadows over Innistrad,222,Near Mint,English,,,,,,,,
1,0,Rabid Bite,Shadows over Innistrad,223,Near Mint,English,foil,,,,,,,
2,0,Rabid Bite,Shadows over Innistrad,223,Near Mint,English,,,,,,,,
1,0,Rabid Bite,Core Set 2019,195,Near Mint,English,,,,,,,,
4,0,Rakdos Guildgate,Commander 2017,271,Near Mint,English,,,,,,,,
1,0,Rancid Rats,Shadows over Innistrad,130,Near Mint,English,,,,,,,,
1,0,Ravenous Bloodseeker,Shadows over Innistrad,175,Near Mint,English,,,,,,,,
1,0,Reach of Shadows,Fate Reforged,81,Near Mint,English,,,,,,,,
2,0,Read the Bones,Duel Decks: Zendikar vs. Eldrazi,56,Near Mint,English,,,,,,,,
1,0,Reaper of Flight Moonsilver,Shadows over Innistrad,36,Near Mint,English,,,,,,,,
1,0,Reave Soul,Magic Origins,115,Near Mint,English,,,,,,,,
1,0,Reckless Cohort,Battle for Zendikar,152,Near Mint,English,,,,,,,,
1,0,Reckless Scholar,Shadows over Innistrad,82,Near Mint,English,,,,,,,,
1,0,Reclaiming Vines,Battle for Zendikar,185,Near Mint,English,,,,,,,,
1,0,Reclusive Artificer,Duel Decks: Elves vs. Inventors,51,Near Mint,English,,,,,,,,
2,0,Reduce to Ashes,Shadows over Innistrad,176,Near Mint,English,,,,,,,,
1,0,Regal Force,Duel Decks: Elves vs. Inventors,22,Near Mint,English,,,,,,,,
1,0,Relentless Assault,Duel Decks: Merfolk vs. Goblins,54,Near Mint,English,,,,,,,,
1,0,Repel the Darkness,Duel Decks: Zendikar vs. Eldrazi,8,Near Mint,English,,,,,,,,
1,0,Retreat to Emeria,Battle for Zendikar,44,Near Mint,English,,,,,,,,
1,0,Retreat to Kazandu,Duel Decks: Zendikar vs. Eldrazi,21,Near Mint,English,,,,,,,,
1,0,Revitalize,Core Set 2019,35,Near Mint,English,,,,,,,,
1,0,Riddlesmith,Duel Decks: Elves vs. Inventors,39,Near Mint,English,,,,,,,,
1,0,Ringwarden Owl,Magic Origins,68,Near Mint,English,,,,,,,,
1,0,Rise of Eagles,Journey into Nyx,49,Near Mint,English,,,,,,,,
1,0,Rogue's Passage,Magic Origins,250,Near Mint,English,,,,,,,,
1,0,Root Out,Shadows over Innistrad,224,Near Mint,English,foil,,,,,,,
3,0,Root Out,Shadows over Innistrad,224,Near Mint,English,,,,,,,,
2,0,Rootwater Hunter,Duel Decks: Merfolk vs. Goblins,16,Near Mint,English,,,,,,,,
1,0,Rotted Hulk,Journey into Nyx,81,Near Mint,English,,,,,,,,
3,0,Rottenheart Ghoul,Shadows over Innistrad,132,Near Mint,English,,,,,,,,
1,0,Rotting Mastodon,Khans of Tarkir,87,Near Mint,English,,,,,,,,
1,0,Rouse the Mob,Journey into Nyx,109,Near Mint,English,,,,,,,,
4,0,Rugged Highlands,Duel Decks: Mind vs. Might,59,Near Mint,English,,,,,,,,
1,0,Runaway Carriage,Shadows over Innistrad,261,Near Mint,English,,,,,,,,
2,0,Runed Servitor,Duel Decks: Zendikar vs. Eldrazi,66,Near Mint,English,,,,,,,,
3,0,Rush of Adrenaline,Shadows over Innistrad,177,Near Mint,English,,,,,,,,
1,0,Rustwing Falcon,Core Set 2019,36,Near Mint,English,,,,,,,,
1,0,Sabertooth Outrider,Dragons of Tarkir,152,Near Mint,English,,,,,,,,
2,0,Sage of Ancient Lore,Shadows over Innistrad,225,Near Mint,English,,,,,,,,
1,0,Sage's Reverie,Fate Reforged,23,Near Mint,English,,,,,,,,
1,0,Sanctum of Ugin,Battle for Zendikar,242,Near Mint,English,,,,,,,,
1,0,Sandblast,Fate Reforged,24,Near Mint,English,,,,,,,,
3,0,Sanguinary Mage,Shadows over Innistrad,178,Near Mint,English,,,,,,,,
4,0,Sanitarium Skeleton,Shadows over Innistrad,133,Near Mint,English,,,,,,,,
1,0,Savage Punch,Khans of Tarkir,147,Near Mint,English,,,,,,,,
2,0,Scroll Thief,Duel Decks: Merfolk vs. Goblins,17,Near Mint,English,,,,,,,,
1,0,Scute Mob,Duel Decks: Zendikar vs. Eldrazi,22,Near Mint,English,,,,,,,,
1,0,Scuttling Doom Engine,Duel Decks: Elves vs. Inventors,61,Near Mint,English,,,,,,,,
4,0,Seagraf Skaab,Shadows over Innistrad,84,Near Mint,English,,,,,,,,
1,0,Seat of the Synod,Duel Decks: Elves vs. Inventors,69,Near Mint,English,,,,,,,,
1,0,Second Harvest,Shadows over Innistrad,227,Near Mint,English,,,,,,,,
1,0,Seer's Sundial,Duel Decks: Zendikar vs. Eldrazi,29,Near Mint,English,,,,,,,,
4,0,Selesnya Guildgate,Commander 2017,279,Near Mint,English,,,,,,,,
1,0,Sengir Vampire,Magic Origins,283,Near Mint,English,,,,,,,,
3,0,Senseless Rage,Shadows over Innistrad,180,Near Mint,English,,,,,,,,
1,0,Serpentine Spike,Battle for Zendikar,133,Near Mint,English,,,,,,,,
1,0,Serra Angel,Magic Origins,276,Near Mint,English,,,,,,,,
1,0,Serra's Guardian,Core Set 2019,284,Near Mint,English,,,,,,,,
1,0,Shadow Glider,Battle for Zendikar,47,Near Mint,English,,,,,,,,
2,0,Shamble Back,Shadows over Innistrad,134,Near Mint,English,,,,,,,,
3,0,Shard of Broken Glass,Shadows over Innistrad,262,Near Mint,English,,,,,,,,
2,0,Sheer Drop,Duel Decks: Zendikar vs. Eldrazi,9,Near Mint,English,,,,,,,,
1,0,Shieldhide Dragon,Dragons of Tarkir,37,Near Mint,English,,,,,,,,
1,0,Shivan Dragon,Magic Origins,285,Near Mint,English,,,,,,,,
1,0,Shivan Reef,Duel Decks: Elves vs. Inventors,70,Near Mint,English,,,,,,,,
1,0,Shrapnel Blast,Duel Decks: Elves vs. Inventors,48,Near Mint,English,,,,,,,,
1,0,Sight Beyond Sight,Dragons of Tarkir,75,Near Mint,English,,,,,,,,
1,0,Sight of the Scalelords,Dragons of Tarkir,207,Near Mint,English,,,,,,,,
4,0,Silburlind Snapper,Shadows over Innistrad,85,Near Mint,English,,,,,,,,
1,0,Silent Observer,Shadows over Innistrad,86,Near Mint,English,,,,,,,,
1,0,Silent Skimmer,Battle for Zendikar,96,Near Mint,English,,,,,,,,
1,0,Silkwrap,Dragons of Tarkir,38,Near Mint,English,,,,,,,,
1,0,Silverbeak Griffin,Core Set 2019,285,Near Mint,English,,,,,,,,
4,0,Simic Guildgate,Modern Masters 2017 Edition,248,Near Mint,English,,,,,,,,
1,0,Sin Prodder,Shadows over Innistrad,181,Near Mint,English,,,,,,,,
1,0,Singing Bell Strike,Khans of Tarkir,55,Near Mint,English,,,,,,,,
1,0,Sinister Concoction,Shadows over Innistrad,135,Near Mint,English,,,,,,,,
2,0,Skeleton Key,Shadows over Innistrad,263,Near Mint,English,,,,,,,,
1,0,Skin Invasion,Shadows over Innistrad,182,Near Mint,English,,,,,,,,
1,0,Slayer's Plate,Shadows over Innistrad,264,Near Mint,English,,,,,,,,
1,0,Sleep Paralysis,Shadows over Innistrad,87,Near Mint,English,,,,,,,,
2,0,Sludge Crawler,Battle for Zendikar,98,Near Mint,English,,,,,,,,
1,0,Smash to Smithereens,Magic Origins,163,Near Mint,English,,,,,,,,
1,0,Smother,Duel Decks: Zendikar vs. Eldrazi,57,Near Mint,English,,,,,,,,
1,0,Solemn Simulacrum,Duel Decks: Elves vs. Inventors,62,Near Mint,English,,,,,,,,
1,0,Solitary Hunter,Shadows over Innistrad,229,Near Mint,English,foil,,,,,,,
1,0,Solitary Hunter,Shadows over Innistrad,229,Near Mint,English,,,,,,,,
1,0,Somberwald Alpha,Magic Origins,198,Near Mint,English,,,,,,,,
1,0,"Sorin, Grim Nemesis",Shadows over Innistrad,251,Near Mint,English,,,,,,,,
1,0,Soulflayer,Fate Reforged,84,Near Mint,English,,,,,,,,
2,0,Spectral Shepherd,Shadows over Innistrad,38,Near Mint,English,,,,,,,,
2,0,Spidersilk Net,Dragons of Tarkir,244,Near Mint,English,,,,,,,,
1,0,Spiteful Motives,Shadows over Innistrad,183,Near Mint,English,,,,,,,,
3,0,Stallion of Ashmouth,Shadows over Innistrad,136,Near Mint,English,,,,,,,,
1,0,Stampeding Elk Herd,Dragons of Tarkir,208,Near Mint,English,,,,,,,,
1,0,Star-Crowned Stag,Core Set 2019,38,Near Mint,English,,,,,,,,
1,0,Stasis Snare,Battle for Zendikar,50,Near Mint,English,,,,,,,,
1,0,Stensia Masquerade,Shadows over Innistrad,184,Near Mint,English,,,,,,,,
3,0,Stern Constable,Shadows over Innistrad,39,Near Mint,English,,,,,,,,
1,0,Stirring Wildwood,Duel Decks: Zendikar vs. Eldrazi,33,Near Mint,English,,,,,,,,
2,0,Stitched Mangler,Shadows over Innistrad,89,Near Mint,English,,,,,,,,
2,0,Stitchwing Skaab,Shadows over Innistrad,90,Near Mint,English,,,,,,,,
3,0,Stoic Builder,Shadows over Innistrad,231,Near Mint,English,foil,,,,,,,
1,0,Stone Quarry,Shadows over Innistrad,279,Near Mint,English,,,,,,,,
1,0,Stonefury,Battle for Zendikar,156,Near Mint,English,,,,,,,,
1,0,Stonewise Fortifier,Journey into Nyx,27,Near Mint,English,,,,,,,,
1,0,Stonework Puma,Duel Decks: Zendikar vs. Eldrazi,30,Near Mint,English,,,,,,,,
3,0,Stormrider Spirit,Shadows over Innistrad,91,Near Mint,English,,,,,,,,
3,0,Streambed Aquitects,Duel Decks: Merfolk vs. Goblins,18,Near Mint,English,,,,,,,,
2,0,Strength of Arms,Shadows over Innistrad,40,Near Mint,English,,,,,,,,
3,0,Stromkirk Mentor,Shadows over Innistrad,137,Near Mint,English,,,,,,,,
1,0,Strongarm Monk,Dragons of Tarkir,39,Near Mint,English,,,,,,,,
3,0,Structural Distortion,Shadows over Innistrad,185,Near Mint,English,,,,,,,,
1,0,Student of Ojutai,Dragons of Tarkir,40,Near Mint,English,,,,,,,,
1,0,Sultai Flayer,Khans of Tarkir,152,Near Mint,English,,,,,,,,
1,0,Sultai Runemark,Fate Reforged,86,Near Mint,English,,,,,,,,
1,0,Sultai Skullkeeper,Fate Reforged,53,Near Mint,English,,,,,,,,
1,0,Summit Prowler,Dragons of Tarkir,160,Near Mint,English,,,,,,,,
1,0,Sun Sentinel,Core Set 2019,307,Near Mint,English,,,,,,,,
4,0,Survive the Night,Shadows over Innistrad,41,Near Mint,English,,,,,,,,
1,0,Suspension Field,Khans of Tarkir,25,Near Mint,English,,,,,,,,
100,0,Swamp,Dominaria,259,Near Mint,English,,,,,,,,
2,0,Swarm Surge,Battle for Zendikar,100,Near Mint,English,,,,,,,,
1,0,Sword of the Animist,Magic Origins,240,Near Mint,English,,,,,,,,
1,0,Sylvan Advocate,Duel Decks: Elves vs. Inventors,23,Near Mint,English,,,,,,,,
1,0,Tajuru Archer,Duel Decks: Zendikar vs. Eldrazi,23,Near Mint,English,,,,,,,,
1,0,Tajuru Stalwart,Battle for Zendikar,194,Near Mint,English,,,,,,,,
1,0,Take Vengeance,Core Set 2019,40,Near Mint,English,,,,,,,,
1,0,Talara's Battalion,Duel Decks: Elves vs. Inventors,24,Near Mint,English,,,,,,,,
2,0,Tamiyo's Journal,Shadows over Innistrad,265,Near Mint,English,,,,,,,,
2,0,Tarfire,Duel Decks: Merfolk vs. Goblins,55,Near Mint,English,,,,,,,,
1,0,Temple of Epiphany,Duel Decks: Elves vs. Inventors,72,Near Mint,English,,,,,,,,
1,0,Tenacity,Shadows over Innistrad,42,Near Mint,English,,,,,,,,
1,0,Terra Stomper,Magic Origins,288,Near Mint,English,,,,,,,,
2,0,Territorial Baloth,Duel Decks: Zendikar vs. Eldrazi,24,Near Mint,English,,,,,,,,
1,0,Territorial Roc,Dragons of Tarkir,43,Near Mint,English,,,,,,,,
1,0,Thalia's Lieutenant,Shadows over Innistrad,43,Near Mint,English,,,,,,,,
1,0,The Gitrog Monster,Shadows over Innistrad,245,Near Mint,English,,,,,,,,
1,0,Thing in the Ice,Shadows over Innistrad,92,Near Mint,English,,,,,,,,
1,0,Thopter Assembly,Duel Decks: Elves vs. Inventors,63,Near Mint,English,,,,,,,,
2,0,Thornhide Wolves,Shadows over Innistrad,232,Near Mint,English,foil,,,,,,,
1,0,Thornhide Wolves,Core Set 2019,204,Near Mint,English,,,,,,,,
1,0,Thraben Gargoyle,Shadows over Innistrad,266,Near Mint,English,,,,,,,,
3,0,Thraben Inspector,Shadows over Innistrad,44,Near Mint,English,,,,,,,,
2,0,Throttle,Shadows over Innistrad,138,Near Mint,English,,,,,,,,
2,0,Tidal Courier,Duel Decks: Merfolk vs. Goblins,19,Near Mint,English,,,,,,,,
2,0,Tidal Warrior,Duel Decks: Merfolk vs. Goblins,20,Near Mint,English,,,,,,,,
1,0,Tidebinder Mage,Duel Decks: Merfolk vs. Goblins,22,Near Mint,English,,,,,,,,
2,0,Titanic Growth,Magic Origins,201,Near Mint,English,,,,,,,,
2,0,Titanic Growth,Core Set 2019,205,Near Mint,English,,,,,,,,
2,0,Tooth Collector,Shadows over Innistrad,140,Near Mint,English,,,,,,,,
1,0,Topan Freeblade,Magic Origins,36,Near Mint,English,,,,,,,,
1,0,Topplegeist,Shadows over Innistrad,45,Near Mint,English,,,,,,,,
1,0,Torch Slinger,Duel Decks: Zendikar vs. Eldrazi,63,Near Mint,English,,,,,,,,
1,0,Tormenting Voice,Dragons of Tarkir,163,Near Mint,English,,,,,,,,
3,0,Tormenting Voice,Shadows over Innistrad,186,Near Mint,English,,,,,,,,
1,0,Totem-Guide Hartebeest,Magic Origins,37,Near Mint,English,,,,,,,,
2,0,Touch of the Void,Battle for Zendikar,134,Near Mint,English,,,,,,,,
1,0,Town Gossipmonger,Shadows over Innistrad,46,Near Mint,English,,,,,,,,
1,0,Trail of Evidence,Shadows over Innistrad,93,Near Mint,English,,,,,,,,
2,0,Tranquil Thicket,Commander Anthology Volume II,274,Near Mint,English,,,,,,,,
2,0,Transgress the Mind,Battle for Zendikar,101,Near Mint,English,,,,,,,,
1,0,Treasure Mage,Duel Decks: Elves vs. Inventors,40,Near Mint,English,,,,,,,,
2,0,Treetop Village,Duel Decks: Elves vs. Inventors,30,Near Mint,English,,,,,,,,
1,0,Trinket Mage,Duel Decks: Elves vs. Inventors,41,Near Mint,English,,,,,,,,
1,0,Triton Tactics,Duel Decks: Merfolk vs. Goblins,23,Near Mint,English,,,,,,,,
1,0,Trophy Mage,Duel Decks: Elves vs. Inventors,42,Near Mint,English,,,,,,,,
3,0,True-Faith Censer,Shadows over Innistrad,267,Near Mint,English,,,,,,,,
1,0,Trumpet Blast,Khans of Tarkir,124,Near Mint,English,,,,,,,,
1,0,Turntimber Basilisk,Duel Decks: Zendikar vs. Eldrazi,25,Near Mint,English,,,,,,,,
2,0,Turntimber Grove,Duel Decks: Zendikar vs. Eldrazi,34,Near Mint,English,,,,,,,,
1,0,Twin Bolt,Dragons of Tarkir,164,Near Mint,English,,,,,,,,
3,0,Twins of Maurer Estate,Shadows over Innistrad,142,Near Mint,English,,,,,,,,
1,0,Typhoid Rats,Fate Reforged,89,Near Mint,English,,,,,,,,
1,0,Ulamog's Crusher,Duel Decks: Zendikar vs. Eldrazi,44,Near Mint,English,,,,,,,,
1,0,Ultimate Price,Dragons of Tarkir,124,Near Mint,English,,,,,,,,
5,0,Uncaged Fury,Shadows over Innistrad,188,Near Mint,English,,,,,,,,
1,0,Underworld Coinsmith,Journey into Nyx,157,Near Mint,English,,,,,,,,
1,0,Uninvited Geist,Shadows over Innistrad,94,Near Mint,English,,,,,,,,
1,0,Unnatural Aggression,Battle for Zendikar,168,Near Mint,English,,,,,,,,
3,0,Unruly Mob,Shadows over Innistrad,47,Near Mint,English,,,,,,,,
1,0,Ursine Champion,Core Set 2019,304,Near Mint,English,,,,,,,,
1,0,Vampire Nighthawk,Duel Decks: Zendikar vs. Eldrazi,58,Near Mint,English,,,,,,,,
3,0,Vampire Noble,Shadows over Innistrad,143,Near Mint,English,,,,,,,,
4,0,Vessel of Ephemera,Shadows over Innistrad,48,Near Mint,English,,,,,,,,
4,0,Vessel of Malignity,Shadows over Innistrad,144,Near Mint,English,,,,,,,,
1,0,Vessel of Nascency,Shadows over Innistrad,237,Near Mint,English,foil,,,,,,,
2,0,Vessel of Nascency,Shadows over Innistrad,237,Near Mint,English,,,,,,,,
3,0,Vessel of Paramnesia,Shadows over Innistrad,95,Near Mint,English,,,,,,,,
3,0,Vessel of Volatility,Shadows over Innistrad,189,Near Mint,English,,,,,,,,
3,0,Vestige of Emrakul,Battle for Zendikar,136,Near Mint,English,,,,,,,,
1,0,Veteran Cathar,Shadows over Innistrad,238,Near Mint,English,foil,,,,,,,
1,0,Veteran Warleader,Duel Decks: Zendikar vs. Eldrazi,27,Near Mint,English,,,,,,,,
2,0,Vile Aggregate,Battle for Zendikar,137,Near Mint,English,,,,,,,,
1,0,Village Messenger,Shadows over Innistrad,190,Near Mint,English,,,,,,,,
1,0,Viridian Shaman,Duel Decks: Elves vs. Inventors,25,Near Mint,English,,,,,,,,
1,0,Void Squall,Dragons of Tarkir,83,Near Mint,English,,,,,,,,
1,0,Volcanic Upheaval,Battle for Zendikar,161,Near Mint,English,,,,,,,,
2,0,Voldaren Duelist,Shadows over Innistrad,191,Near Mint,English,,,,,,,,
1,0,Voyager Staff,Duel Decks: Elves vs. Inventors,64,Near Mint,English,,,,,,,,
1,0,Vulturous Aven,Dragons of Tarkir,126,Near Mint,English,,,,,,,,
1,0,Wake Thrasher,Duel Decks: Merfolk vs. Goblins,24,Near Mint,English,,,,,,,,
1,0,Wall of Vines,Core Set 2019,210,Near Mint,English,,,,,,,,
2,0,Warped Landscape,Shadows over Innistrad,280,Near Mint,English,,,,,,,,
1,0,Warren Instigator,Duel Decks: Merfolk vs. Goblins,32,Near Mint,English,,,,,,,,
1,0,Watcher in the Web,Shadows over Innistrad,239,Near Mint,English,foil,,,,,,,
2,0,Watcher in the Web,Shadows over Innistrad,239,Near Mint,English,,,,,,,,
1,0,Weave Fate,Khans of Tarkir,61,Near Mint,English,,,,,,,,
1,0,Weave Fate,Magic Origins,279,Near Mint,English,,,,,,,,
2,0,Welcome to the Fold,Shadows over Innistrad,96,Near Mint,English,,,,,,,,
1,0,Welding Sparks,Duel Decks: Elves vs. Inventors,49,Near Mint,English,,,,,,,,
